지역,대학명,전형명,학과명,2026등급컷I,2026등급컷II,2026등급컷III,2025등급컷,2025등급컷2,25년합격cutI기준,25년합격CUTII기준,,26년합격cut I기준,26년합격cut II 기준,26년합격cut III기준,,
인천,가천대학교,특성화고교전형 ,기계공학부,1.23,1.38,1.97,2.13,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,특성화고교전형 ,도시계획조경학부,-,-,3.67,1.52,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,특성화고교전형 ,미디어커뮤니케이션학과,-,-,1.76,2.25,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,특성화고교전형 ,"반도체대학(전자공학과,반도체공학과)",1.76,1.81,2.31,2.38,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,특성화고교전형 ,"법과대학(법학과,경찰행정학과,행정학과)",-,-,2.21,1.73,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,특성화고교전형 ,사회복지학과,-,-,2.38,2.78,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,특성화고교전형 ,식품생명공학과,-,-,2.8,1.8,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,특성화고교전형 ,식품영양학과,-,-,1.7,2.5,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,특성화고교전형 ,신소재공학과,-,-,3.11,2.92,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,특성화고교전형 ,의료산업경영학과,-,-,2.06,2.13,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,특성화고교전형 ,인공지능학과,-,-,2.12,,,최종등록자90%컷,,,,,,,
인천,가천대학교,특성화고교전형 ,화공생명배터리공학부,2.08,2.18,3.13,1.81,,최종등록자90%컷,,,,,,,
인천,가천대학교,학생부우수자전형 ,AI인문대학,2.87,2.9,3.01,3.2,2.01,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학생부우수자전형 ,간호학과,1.89,1.99,2.13,2.07,2.84,최종등록자90%컷,최종등록자70%컷,,,,,,
인천,가천대학교,학생부우수자전형 ,건설환경공학과,2.81,2.86,2.97,2.99,2.11,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학생부우수자전형 ,건축공학과,3.07,3.17,3.21,,1.85,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학생부우수자전형 ,건축학부,2.72,2.81,2.94,3.54,4,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학생부우수자전형 ,경영학과,2.46,2.52,2.63,2.92,1.05,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학생부우수자전형 ,경제학과,2.76,2.8,2.82,3.19,1.13,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학생부우수자전형 ,관광경영학과,2.94,3.04,3.07,3.17,2.9,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,가천바람개비전형 ,"AI인문대학(한국어문학과,영미영문학과,중국어문학과,일본어문학과,유럽어문학과)",3.78,3.95,4.96,4.28,,최종등록자70%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,가천바람개비전형 ,간호학과,2.79,2.88,3.28,2.8,,최종등록자70%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,가천바람개비전형 ,건설환경공학과(토목환경공학과),3.63,3.78,4.13,3.68,,최종등록자70%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,가천바람개비전형 ,건축공학과,3.61,3.92,3.95,,,최종등록자70%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,가천바람개비전형 ,건축학부,3.55,3.94,4.41,3.94,,최종등록자70%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,가천바람개비전형 ,경영학과,3.6,3.9,4.15,3.88,,최종등록자70%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,가천바람개비전형 ,경제학과,3.51,3.83,3.94,4.06,,최종등록자70%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,가천의약학전형 ,의예과,1.71,1.81,2.33,2.16,,최종등록자70%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,가천의약학전형 ,약학과,2.39,2.69,3.63,2.69,,최종등록자70%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교육기회균형전형 ,약학과,-,-,-,2.87,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,기회균형전형 ,AI인문대학,4.66,4.91,5.04,5.67,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,기회균형전형 ,간호학과,3.16,3.3,3.85,3.88,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학종농어촌,AI인문대학,-,-,4.15,5.34,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학종농어촌,간호학과,-,-,2.73,2.85,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학종농어촌,건설환경공학과,-,-,4.38,,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학종농어촌,건축학부,-,-,4.28,4.48,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학종농어촌,경영학과,4.02,4.03,4.95,4.36,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,학종농어촌,경제학과,-,-,4.02,4.53,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,금융빅데이터학부,4.56,5.12,5.8,5.98,5.2,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,기계공학부,3.96,4.99,6.23,6.18,5.18,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,도시계획조경학부,3.89,4.1,4.67,5.51,5.01,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,물리치료학과,4.72,4.97,5.53,5.2,4.75,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,미디어커뮤니케이션학과,4.48,4.58,5.21,6.87,5.33,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,바이오나노학과,4.09,4.86,6.34,4.62,4.24,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,바이오로직스학과,4.71,5.22,6.16,5.3,4.75,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
